iter	Passed	Remaining
0	0	69
1	1	63
2	1	61
3	2	60
4	3	59
5	3	58
6	4	56
7	5	57
8	5	59
9	6	58
10	7	58
11	7	58
12	8	57
13	9	57
14	9	56
15	10	55
16	11	54
17	12	55
18	12	54
19	13	54
20	14	53
21	15	53
22	15	52
23	16	52
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	23	42
36	24	41
37	24	40
38	25	40
39	26	39
40	27	38
41	27	37
42	27	37
43	28	36
44	29	35
45	29	34
46	30	34
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	33	30
53	34	29
54	35	28
55	35	28
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	61	0
99	61	0
