iter	Passed	Remaining
0	139	139285
1	140	69956
2	140	46821
3	141	35260
4	142	28325
5	143	23709
6	143	20400
7	144	17909
8	145	16009
9	146	14474
10	146	13197
11	147	12139
12	148	11242
13	148	10473
14	149	9804
15	149	9220
16	150	8703
17	151	8241
18	151	7831
19	152	7469
20	153	7139
21	153	6837
22	154	6563
23	155	6309
24	155	6076
25	156	5860
26	157	5661
27	157	5475
28	158	5306
29	159	5143
30	159	4994
31	160	4863
32	161	4731
33	162	4605
34	162	4482
35	163	4369
36	163	4262
37	164	4162
38	164	4065
39	165	3971
40	166	3885
41	166	3802
42	167	3724
43	167	3649
44	168	3577
45	169	3510
46	169	3444
47	170	3382
48	171	3322
49	171	3263
50	172	3208
51	173	3155
52	173	3104
53	174	3054
54	174	3005
55	175	2958
56	176	2913
57	176	2869
58	177	2828
59	177	2788
60	178	2748
61	179	2711
62	179	2675
63	180	2638
64	181	2604
65	181	2571
66	182	2539
67	182	2507
68	183	2476
69	184	2445
70	184	2415
71	185	2386
72	185	2357
73	186	2330
74	186	2303
75	187	2277
76	187	2252
77	188	2229
78	189	2205
79	189	2183
80	190	2162
81	191	2140
82	191	2116
83	192	2095
84	192	2075
85	193	2055
86	193	2035
87	194	2017
88	195	2000
89	196	1981
90	196	1963
91	197	1945
92	197	1927
93	198	1911
94	198	1895
95	199	1880
96	200	1864
97	200	1848
98	201	1832
99	201	1817
100	202	1801
101	203	1788
102	203	1774
103	204	1761
104	205	1747
105	205	1733
106	206	1720
107	206	1708
108	207	1695
109	208	1684
110	209	1679
111	210	1669
112	211	1661
113	213	1655
114	213	1644
115	214	1633
116	214	1620
117	215	1612
118	216	1601
119	217	1591
120	217	1581
121	218	1570
122	218	1560
123	219	1552
124	220	1543
125	221	1533
126	221	1523
127	222	1513
128	223	1505
129	223	1497
130	224	1488
131	225	1479
132	225	1470
133	226	1462
134	226	1453
135	227	1445
136	228	1436
137	228	1428
138	229	1419
139	229	1410
140	230	1401
141	230	1392
142	230	1383
143	231	1375
144	231	1367
145	232	1360
146	233	1353
147	233	1345
148	234	1338
149	235	1331
150	235	1325
151	236	1318
152	236	1311
153	237	1304
154	238	1297
155	238	1291
156	239	1284
157	239	1278
158	240	1272
159	241	1266
160	241	1259
161	242	1253
162	242	1247
163	243	1241
164	244	1236
165	244	1230
166	245	1224
167	246	1218
168	246	1213
169	247	1207
170	247	1201
171	248	1195
172	248	1189
173	249	1184
174	250	1178
175	250	1173
176	251	1168
177	251	1162
178	252	1157
179	253	1152
180	253	1147
181	254	1142
182	254	1137
183	255	1132
184	256	1127
185	256	1122
186	257	1117
187	257	1112
188	258	1107
189	258	1102
190	259	1097
191	259	1092
192	260	1087
193	260	1082
194	261	1077
195	261	1073
196	262	1068
197	262	1064
198	263	1059
199	263	1055
200	264	1051
201	265	1047
202	265	1043
203	266	1039
204	266	1035
205	267	1031
206	268	1027
207	268	1023
208	269	1019
209	269	1015
210	270	1011
211	271	1007
212	271	1003
213	272	999
214	272	995
215	273	991
216	273	987
217	274	983
218	274	979
219	275	975
220	275	971
221	276	967
222	276	963
223	277	959
224	277	956
225	278	953
226	278	949
227	279	946
228	280	943
229	280	940
230	281	936
231	282	933
232	282	930
233	283	927
234	283	923
235	284	920
236	284	917
237	285	914
238	285	910
239	286	907
240	286	903
241	287	900
242	287	896
243	288	893
244	289	890
245	289	887
246	290	884
247	290	881
248	291	877
249	291	874
250	292	871
251	292	869
252	293	866
253	294	863
254	294	860
255	295	857
256	295	855
257	296	852
258	296	849
259	297	846
260	298	844
261	298	841
262	299	839
263	300	836
264	300	833
265	301	831
266	301	828
267	302	825
268	302	822
269	303	819
270	303	816
271	304	813
272	304	811
273	305	808
274	305	806
275	306	803
276	307	801
277	307	798
278	308	796
279	308	793
280	309	791
281	309	789
282	310	786
283	311	784
284	311	781
285	312	779
286	312	777
287	313	774
288	314	772
289	314	770
290	314	767
291	315	765
292	316	762
293	316	760
294	317	758
295	317	755
296	318	753
297	319	751
298	319	749
299	320	747
300	320	745
301	321	743
302	322	741
303	322	738
304	323	736
305	323	734
306	324	733
307	325	730
308	325	728
309	326	726
310	327	724
311	327	722
312	328	720
313	328	718
314	329	716
315	329	714
316	330	712
317	331	710
318	331	708
319	332	706
320	333	704
321	334	703
322	334	701
323	335	699
324	336	698
325	336	696
326	337	694
327	338	692
328	338	690
329	339	688
330	339	687
331	340	684
332	340	682
333	341	680
334	342	678
335	342	677
336	343	675
337	343	673
338	344	671
339	345	670
340	345	668
341	346	665
342	346	663
343	347	661
344	347	660
345	348	658
346	348	656
347	349	654
348	349	652
349	350	650
350	350	648
351	351	646
352	351	644
353	352	643
354	353	641
355	353	639
356	354	638
357	354	636
358	355	634
359	356	632
360	356	631
361	357	629
362	357	627
363	358	626
364	358	624
365	359	622
